tip_id,tip,z_score,num_tippers,tippers
BRACKET-Haiti,r32,4.8,1,['Martin L']
BRACKET-Tunisia,r32,4.8,1,['BlueLaGoons']
GROUP-Argentina-Algeria,away,-4.8,1,['BlueLaGoons']
GROUP-England-Ghana,draw,-4.8,1,['Smith']
GROUP-New_Zealand-Belgium,draw,4.8,1,['Sherram']
GROUP-Portugal-DR_Congo,away,-4.8,1,"[""ESPN (Ryan O'Hanlon's tips)""]"
GROUP-Uruguay-Cape_Verde,draw,-4.8,1,['Martin L']
BRACKET-Scotland,quarter,4.356166354496553,1,['Tom (c66)']
GROUP-Panama-England,home,4.275672965785015,1,['Mikey']
BRACKET-South_Africa,r16,4.252885715484401,1,['Tom (c66)']
BRACKET-Austria,r16,4.177618722980621,1,['Jon']
BRACKET-Algeria,quarter,4.0714966500848595,1,['BlueLaGoons']
GROUP-Ecuador-Curaçao,away,-3.8935077995394627,1,['Albert']
BRACKET-Ghana,quarter,3.6432616513312976,1,['Smith']
GROUP-Argentina-Austria,away,-3.6,1,['BlueLaGoons']
GROUP-Austria-Jordan,away,-3.6,1,['Sherram']
GROUP-Haiti-Scotland,home,3.6,1,['Martin L']
BRACKET-Senegal,semi,3.598197315352455,1,['Smith']
GROUP-Czechia-South_Africa,away,-3.366405044974426,1,['Tom (c66)']
BRACKET-DR_Congo,r32,3.3226495451672307,2,"[""ESPN (Ryan O'Hanlon's tips)"", 'Jon']"
GROUP-Colombia-DR_Congo,draw,-3.32264954516723,2,"['Doug', 'Estevao']"
GROUP-Morocco-Haiti,draw,-3.32264954516723,2,"['Damian', 'Estevao']"
GROUP-Portugal-Uzbekistan,draw,-3.32264954516723,2,"['Downsy', 'Martin L']"
GROUP-Tunisia-Netherlands,home,3.32264954516723,2,"['BlueLaGoons', 'Tom (c66)']"
GROUP-Uzbekistan-Colombia,draw,3.32264954516723,2,"['Martin L', 'Tom (c66)']"
BRACKET-Jordan,r32,3.3226495451672298,2,"['Dave L', 'Sherram']"
BRACKET-Morocco,quarter,3.1176914536239795,2,"['Giuseppe', 'Kuba']"
GROUP-Brazil-Morocco,away,-3.1176914536239795,2,"['Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)""]"
BRACKET-Czechia,quarter,3.059120002844906,1,['Luce']
BRACKET-Germany,final,3.053803249345689,2,"['Damian', 'Downsy']"
BRACKET-Ecuador,quarter,3.002143024316532,1,['Antoni Brdarovski']
GROUP-Curaçao-Ivory_Coast,home,2.947008621141803,2,"['Damian', 'Sherram']"
GROUP-Germany-Ivory_Coast,away,-2.947008621141803,2,"['BlueLaGoons', 'Damian']"
GROUP-Norway-France,home,2.8841550782619017,1,['BlueLaGoons']
BRACKET-Norway,third,2.837360098091506,2,"['BlueLaGoons', ""ESPN (Ryan O'Hanlon's tips)""]"
BRACKET-Saudi_Arabia,r16,2.8109437015016296,2,"['Dan', 'Sherram']"
GROUP-Belgium-Iran,away,-2.802527304422813,2,"['BlueLaGoons', 'Damian']"
BRACKET-Australia,semi,2.7551221060277564,1,['Sherram']
BRACKET-Paraguay,quarter,2.679414124178734,2,"['Mikey', 'Sherram']"
GROUP-England-Croatia,away,-2.6753779282231376,1,['Mikey']
BRACKET-Curaçao,r32,2.65329983228432,3,"['Albert', 'Damian', 'Tom (c66)']"
GROUP-France-Senegal,draw,-2.65329983228432,3,"['Haydos', 'Martin L', 'Smith']"
GROUP-Iraq-Norway,draw,2.65329983228432,3,"['Albert', 'Estevao', 'Sherram']"
GROUP-Qatar-Switzerland,draw,2.65329983228432,3,"['Downsy', 'Jon', 'Sherram']"
GROUP-Saudi_Arabia-Uruguay,draw,2.65329983228432,3,"['Albert', 'BlueLaGoons', 'Dan']"
BRACKET-Egypt,quarter,2.6349305252036945,1,['Doug']
GROUP-Czechia-Mexico,home,2.616340592361418,2,"['Doug', 'Haydos']"
BRACKET-Argentina,r32,-2.5944150875602623,1,['BlueLaGoons']
BRACKET-Mexico,quarter,2.5472094264251153,1,['Tamara']
BRACKET-Austria,group,-2.5358043672445443,1,['Albert']
BRACKET-Canada,quarter,2.533956695069214,2,"['Antoni Brdarovski', ""ESPN (Ryan O'Hanlon's tips)""]"
BRACKET-Croatia,quarter,2.469579626052127,1,['Mikey']
GROUP-Canada-Qatar,away,-2.4333349299097486,3,"['Damian', 'Downsy', 'Tom (c66)']"
BRACKET-Colombia,semi,2.409979253022731,1,['Downsy']
BRACKET-Switzerland,quarter,2.3707899867534286,1,['BlueLaGoons']
GROUP-Belgium-Egypt,away,-2.342857142857143,3,"['BlueLaGoons', 'Doug', 'Sherram']"
GROUP-Croatia-Ghana,away,-2.327015255644019,2,"['Sherram', 'Smith']"
GROUP-South_Africa-South_Korea,home,2.2857082853223853,3,"['Antoni Brdarovski', 'BlueLaGoons', 'Tom (c66)']"
GROUP-Japan-Sweden,away,-2.2657780120744397,2,"['Antoni Brdarovski', 'Kuba']"
BRACKET-Panama,r32,2.244994432064365,4,"['Albert', 'Damian', 'Mikey', 'Tom (c66)']"
BRACKET-Bosnia_and_Herz,r16,2.214717638115686,3,"['Giuseppe', 'Haydos', 'Mikey']"
BRACKET-Portugal,winner,2.209867775302693,2,"['Antoni Brdarovski', 'Tom (c66)']"
GROUP-Scotland-Morocco,home,2.168870673876153,2,"['Mikey', 'Tom (c66)']"
GROUP-South_Korea-Czechia,away,-2.168870673876153,2,"['Haydos', 'Luce']"
BRACKET-Netherlands,winner,2.1329838520538154,2,"['Albert', 'Tom (9a0)']"
GROUP-Iran-New_Zealand,away,-2.0856017149193025,2,"['Albert', 'Mikey']"
GROUP-Norway-Senegal,away,-2.076301528531725,2,"['Damian', 'MarcinC']"
GROUP-Switzerland-Canada,away,-2.0724145243614545,3,"['Adam B', 'BlueLaGoons', 'Doug']"
BRACKET-England,r32,-2.0402234190011916,1,['Mikey']
BRACKET-Portugal,group,-2.037535843527917,1,"[""ESPN (Ryan O'Hanlon's tips)""]"
GROUP-Panama-England,draw,2.001378835048305,1,['Albert']
BRACKET-Mexico,r32,-2.0013788350483046,4,"['BlueLaGoons', 'Dan', 'Martin L', 'Tom (9a0)']"
BRACKET-Spain,quarter,-1.999457742290824,2,"['Albert', 'Haydos']"
BRACKET-Ivory_Coast,r16,1.9977037000366211,4,"['BlueLaGoons', 'Estevao', 'Kuba', 'Martin L']"
BRACKET-Qatar,r32,1.9595917942265428,5,"['BlueLaGoons', 'Damian', 'Downsy', 'Sherram', 'Tom (c66)']"
GROUP-Netherlands-Sweden,draw,-1.9595917942265426,5,"['Antoni Brdarovski', 'Damian', 'Dave L', 'Giuseppe', 'Jon']"
GROUP-Sweden-Tunisia,draw,-1.9595917942265426,5,"['Downsy', 'Estevao', 'Jon', 'MarcinC', 'Martin L']"
GROUP-Tunisia-Japan,draw,1.9595917942265426,5,"['BlueLaGoons', 'Dave L', 'Doug', 'Estevao', 'Luce']"
GROUP-Uruguay-Spain,draw,1.9595917942265426,5,"['Albert', 'Doug', 'Downsy', 'Estevao', 'Smith']"
BRACKET-Sweden,r16,1.9571634633133814,4,"['Adam B', 'Antoni Brdarovski', 'Doug', 'Luce']"
BRACKET-Iran,r16,1.9464454372484128,4,"['BlueLaGoons', 'Dan', ""ESPN (Ryan O'Hanlon's tips)"", 'Tom (c66)']"
GROUP-Mexico-South_Korea,away,-1.9428571428571428,3,"['Albert', 'Sherram', 'Tom (9a0)']"
BRACKET-Ghana,r16,1.9369757524312892,1,['BlueLaGoons']
GROUP-New_Zealand-Egypt,home,1.9213759114911448,4,"['Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)"", 'Mikey', 'Sherram']"
GROUP-Cape_Verde-Saudi_Arabia,home,1.8872570387826832,3,"['Claude (AI)', 'Damian', ""ESPN (Ryan O'Hanlon's tips)""]"
GROUP-Egypt-Iran,away,-1.8693703363821341,3,"['Downsy', 'Sherram', 'Tamara']"
BRACKET-Belgium,r32,-1.8478052485186858,2,"['Damian', 'Sherram']"
GROUP-Türkiye-USA,away,-1.833030277982336,4,"['Downsy', 'Luce', 'Mikey', 'Tamara']"
GROUP-USA-Paraguay,away,-1.833030277982336,4,"['Albert', 'BlueLaGoons', 'Damian', 'Sherram']"
BRACKET-Belgium,semi,1.7991787946102993,3,"['Albert', 'BlueLaGoons', 'Haydos']"
GROUP-Ecuador-Curaçao,draw,-1.7774709519636678,2,"['Kuba', 'Tom (c66)']"
BRACKET-South_Korea,quarter,1.745355988235753,3,"['Damian', 'Downsy', 'Martin L']"
BRACKET-Brazil,winner,1.7441660150200125,3,"['Damian', 'Downsy', 'Estevao']"
BRACKET-New_Zealand,r32,1.7435595774162698,6,"['Albert', 'Claude (AI)', 'Dave L', ""ESPN (Ryan O'Hanlon's tips)"", 'Mikey', 'Sherram']"
BRACKET-Uzbekistan,r32,1.7435595774162698,6,"['Dan', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Martin L', 'Tamara', 'Tom (c66)']"
GROUP-Switzerland-Bosnia_&_Herz.,draw,-1.7435595774162695,6,"['Giuseppe', 'Haydos', 'Jon', 'Kuba', 'Luce', 'MarcinC']"
BRACKET-Spain,winner,1.730873866460714,4,"['Adam B', ""ESPN (Ryan O'Hanlon's tips)"", 'Mikey', 'Tamara']"
GROUP-Türkiye-Paraguay,away,-1.7146428199482247,5,"['Albert', 'Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)"", 'Mikey', 'Sherram']"
GROUP-USA-Australia,home,1.7146428199482247,5,"['Downsy', 'Estevao', 'Giuseppe', 'Jon', 'Kuba']"
GROUP-Algeria-Austria,home,1.71408552061282,4,"['Albert', 'Giuseppe', 'Jon', 'Luce']"
GROUP-DR_Congo-Uzbekistan,home,1.6866766283969454,4,"['BlueLaGoons', 'Claude (AI)', 'Giuseppe', 'Jon']"
BRACKET-Argentina,r16,-1.6842217506390365,1,['Sherram']
BRACKET-Türkiye,quarter,1.6596552943439753,4,"['BlueLaGoons', 'Giuseppe', 'MarcinC', 'Smith']"
BRACKET-USA,quarter,1.658543253428377,5,"['Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Kuba', 'Martin L', 'Tamara']"
BRACKET-Japan,quarter,1.6554275969169903,6,"['Dan', 'Dave L', 'Jon', 'Sherram', 'Tamara', 'Tom (9a0)']"
BRACKET-Australia,quarter,1.6527204951011574,1,['Damian']
GROUP-Canada-Bosnia_&_Herz.,away,-1.6457198371482977,5,"['Estevao', 'Giuseppe', 'Haydos', 'Jon', 'Mikey']"
GROUP-Argentina-Austria,draw,-1.6,3,"['Claude (AI)', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)""]"
GROUP-Austria-Jordan,draw,-1.6,3,"['Albert', 'Dave L', 'Estevao']"
GROUP-Haiti-Scotland,draw,1.6,3,"['BlueLaGoons', 'Dave L', 'Sherram']"
BRACKET-Portugal,r32,-1.5960494458716887,1,['BlueLaGoons']
GROUP-Paraguay-Australia,home,1.5920130321405959,5,"['Dave L', 'Estevao', 'Luce', 'Mikey', 'Sherram']"
BRACKET-France,r16,-1.5775419853271886,4,"['Adam B', 'Damian', 'Downsy', 'MarcinC']"
GROUP-Ecuador-Germany,draw,1.5711688096991452,7,"['Claude (AI)', 'Dan', 'Dave L', 'Doug', ""ESPN (Ryan O'Hanlon's tips)"", 'Giuseppe', 'Luce']"
BRACKET-Türkiye,group,-1.568564442845,2,"['Luce', 'Mikey']"
GROUP-Colombia-Portugal,home,1.5547493395985204,5,"['Albert', 'Damian', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Sherram']"
GROUP-Australia-Türkiye,home,1.5376359531190487,5,"['Dan', 'Dave L', 'Mikey', 'Sherram', 'Tom (c66)']"
BRACKET-Netherlands,final,1.4917549403012254,1,['Haydos']
GROUP-Czechia-South_Africa,draw,-1.4536749057844112,4,"['Albert', 'Dave L', 'Estevao', 'Giuseppe']"
GROUP-Ivory_Coast-Ecuador,home,1.4499999999999997,6,"['Albert', 'Doug', 'Estevao', 'Jon', 'Kuba', 'Smith']"
BRACKET-Portugal,final,1.4486843310678166,1,['Tom (9a0)']
BRACKET-South_Korea,group,-1.4419447264076803,4,"['Antoni Brdarovski', 'BlueLaGoons', 'Haydos', 'Tom (c66)']"
BRACKET-Germany,r32,-1.4370838820450298,1,['BlueLaGoons']
GROUP-DR_Congo-Uzbekistan,away,-1.436798609375176,6,"['Damian', 'Dan', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Martin L', 'Tamara']"
BRACKET-Brazil,r32,-1.434905899204274,5,"['Antoni Brdarovski', 'Dan', ""ESPN (Ryan O'Hanlon's tips)"", 'Smith', 'Tom (9a0)']"
BRACKET-England,winner,1.4135675801205436,5,"['BlueLaGoons', 'Doug', 'Haydos', 'Kuba', 'MarcinC']"
GROUP-Ghana-Panama,away,-1.4100623610567602,7,"['Albert', 'Damian', ""ESPN (Ryan O'Hanlon's tips)"", 'Mikey', 'Sherram', 'Tom (9a0)', 'Tom (c66)']"
GROUP-Netherlands-Japan,away,-1.4100623610567602,7,"['Claude (AI)', 'Dave L', ""ESPN (Ryan O'Hanlon's tips)"", 'Giuseppe', 'Kuba', 'Sherram', 'Tamara']"
BRACKET-Czechia,r16,1.4080405539864724,4,"['Damian', 'Doug', 'Haydos', 'Sherram']"
BRACKET-Paraguay,r16,1.3942001352211677,2,"['Albert', 'Dave L']"
BRACKET-Ivory_Coast,group,-1.3860568553427328,4,"['Damian', 'Sherram', 'Tamara', 'Tom (c66)']"
BRACKET-Morocco,r16,1.385640646055102,1,['BlueLaGoons']
GROUP-Brazil-Morocco,draw,-1.385640646055102,1,['Giuseppe']
BRACKET-Ecuador,group,-1.3827805506023159,2,"['Albert', 'Kuba']"
BRACKET-South_Africa,r32,1.3605532103943565,2,"['Albert', 'Antoni Brdarovski']"
BRACKET-England,r16,-1.3494652191768446,2,"['Smith', 'Tamara']"
BRACKET-Colombia,quarter,1.3145341380123985,5,"['Adam B', 'Albert', 'Damian', ""ESPN (Ryan O'Hanlon's tips)"", 'Sherram']"
GROUP-Bosnia_&_Herz.-Qatar,away,-1.3145341380123985,8,"['BlueLaGoons', 'Claude (AI)', 'Damian', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Sherram', 'Tom (9a0)', 'Tom (c66)']"
GROUP-Australia-Türkiye,away,-1.3098380341384488,7,"['Antoni Brdarovski', 'BlueLaGoons', 'Estevao', 'Giuseppe', 'Jon', 'Smith', 'Tamara']"
GROUP-Senegal-Iraq,draw,-1.3063945294843615,9,"['Albert', 'Antoni Brdarovski', 'Dan', 'Dave L', 'Downsy', 'Kuba', 'Martin L', 'Tamara', 'Tom (c66)']"
BRACKET-Ecuador,r16,1.3025602433402346,5,"['Adam B', 'BlueLaGoons', 'Giuseppe', 'Mikey', 'Tamara']"
BRACKET-Scotland,group,-1.2926621510327527,3,"['BlueLaGoons', 'Martin L', 'Sherram']"
GROUP-Curaçao-Ivory_Coast,draw,1.2725719045839605,2,"['Tamara', 'Tom (c66)']"
GROUP-Germany-Ivory_Coast,draw,-1.2725719045839605,2,"['Albert', 'Smith']"
GROUP-Norway-Senegal,home,1.2725719045839605,8,"['Adam B', 'Dan', 'Dave L', 'Estevao', 'Luce', 'Mikey', 'Sherram', 'Tom (c66)']"
BRACKET-Switzerland,r32,-1.221316053782069,9,"['Adam B', 'Albert', 'Doug', ""ESPN (Ryan O'Hanlon's tips)"", 'Giuseppe', 'Haydos', 'Luce', 'Smith', 'Tom (c66)']"
BRACKET-Egypt,r16,1.2047684945894443,6,"['BlueLaGoons', 'Estevao', 'Luce', 'MarcinC', 'Smith', 'Tom (c66)']"
BRACKET-Canada,group,-1.2026735480026722,3,"['Damian', 'Downsy', 'Mikey']"
BRACKET-Sweden,group,-1.2008413079643376,6,"['BlueLaGoons', 'Downsy', 'Estevao', 'Jon', 'MarcinC', 'Martin L']"
BRACKET-Czechia,group,-1.2006649752098533,4,"['Albert', 'Estevao', 'Giuseppe', 'Tom (c66)']"
BRACKET-Australia,group,-1.1914756610894683,6,"['Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)"", 'Estevao', 'Giuseppe', 'Jon', 'Smith']"
GROUP-Belgium-Iran,draw,-1.1731509646421079,3,"['Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)"", 'Tom (c66)']"
GROUP-Iran-New_Zealand,home,1.1731509646421077,9,"['BlueLaGoons', 'Damian', 'Dan', 'Estevao', 'Giuseppe', 'Haydos', 'Martin L', 'Tom (9a0)', 'Tom (c66)']"
GROUP-Egypt-Iran,home,1.1457431093955017,9,"['Damian', 'Doug', 'Estevao', 'Haydos', 'Jon', 'Kuba', 'Luce', 'Mikey', 'Smith']"
BRACKET-Senegal,r16,1.1410836064256213,4,"['Damian', 'Haydos', 'MarcinC', 'Tom (9a0)']"
GROUP-Colombia-Portugal,away,-1.1258529700541011,9,"['Dave L', 'Doug', 'Estevao', 'Haydos', 'Kuba', 'Martin L', 'Mikey', 'Tamara', 'Tom (c66)']"
GROUP-Norway-France,draw,1.1255239329802542,7,"['Adam B', 'Claude (AI)', 'Doug', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Jon', 'Sherram']"
BRACKET-Netherlands,third,1.119842171484723,2,"['Adam B', 'MarcinC']"
BRACKET-Brazil,final,1.1083516321751552,2,"['Mikey', 'Sherram']"
BRACKET-Canada,r16,1.0856503993049171,4,"['Adam B', 'Albert', 'Claude (AI)', 'Tom (9a0)']"
BRACKET-Netherlands,r32,-1.0731607067091347,7,"['BlueLaGoons', 'Giuseppe', 'Jon', 'Kuba', 'Sherram', 'Tamara', 'Tom (c66)']"
BRACKET-France,winner,1.0657924404891461,9,"['Claude (AI)', 'Dan', 'Dave L', 'Giuseppe', 'Jon', 'Luce', 'Martin L', 'Sherram', 'Smith']"
GROUP-Cape_Verde-Saudi_Arabia,away,-1.0615820843152592,10,"['Albert', 'Dan', 'Downsy', 'Estevao', 'Haydos', 'Jon', 'MarcinC', 'Sherram', 'Smith', 'Tamara']"
BRACKET-Egypt,group,-1.054887513781071,7,"['Claude (AI)', 'Dan', 'Dave L', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Sherram', 'Tamara']"
GROUP-Algeria-Austria,away,-1.0505685448917284,10,"['Damian', 'Dave L', 'Estevao', 'Haydos', 'MarcinC', 'Mikey', 'Sherram', 'Smith', 'Tamara', 'Tom (c66)']"
GROUP-Ivory_Coast-Ecuador,away,-1.0499999999999998,10,"['Adam B', 'Claude (AI)', 'Damian', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Giuseppe', 'Luce', 'Mikey', 'Sherram', 'Tamara']"
GROUP-Czechia-Mexico,draw,1.046536236944567,4,"['Dan', 'Jon', 'Sherram', 'Tom (9a0)']"
BRACKET-Argentina,final,1.0463582601246413,8,"['Adam B', 'Albert', 'Claude (AI)', ""ESPN (Ryan O'Hanlon's tips)"", 'Luce', 'Martin L', 'Smith', 'Tamara']"
GROUP-Jordan-Algeria,away,-1.019803902718557,12,"['Adam B', 'Albert', 'BlueLaGoons', 'Damian', 'Giuseppe', 'Kuba', 'Luce', 'MarcinC', 'Sherram', 'Smith', 'Tamara', 'Tom (9a0)']"
BRACKET-USA,group,-1.011852149620308,7,"['Albert', 'Antoni Brdarovski', 'BlueLaGoons', 'Damian', 'Dave L', 'Haydos', 'Sherram']"
BRACKET-Iran,group,-0.9858426928550316,9,"['Adam B', 'Albert', 'Doug', 'Jon', 'Kuba', 'Luce', 'MarcinC', 'Mikey', 'Smith']"
GROUP-Canada-Qatar,draw,-0.984921281153946,2,"['BlueLaGoons', 'Mikey']"
GROUP-Paraguay-Australia,away,-0.9757499229248814,11,"['Adam B', 'Antoni Brdarovski', 'BlueLaGoons', 'Damian', 'Dan', 'Downsy', 'Kuba', 'Martin L', 'Tamara', 'Tom (9a0)', 'Tom (c66)']"
BRACKET-Croatia,r32,-0.9603920767980495,12,"['Adam B', 'Albert', 'Damian', 'Dave L', 'Doug', 'Downsy', 'Giuseppe', 'Jon', 'Luce', 'MarcinC', 'Sherram', 'Smith']"
GROUP-England-Croatia,draw,-0.9603920767980495,9,"['BlueLaGoons', 'Dan', 'Doug', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Estevao', 'Haydos', 'Martin L', 'Smith']"
GROUP-Jordan-Algeria,draw,0.9413574486632833,13,"['Antoni Brdarovski', 'Claude (AI)', 'Dan', 'Dave L', 'Doug', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Estevao', 'Haydos', 'Jon', 'Martin L', 'Mikey', 'Tom (c66)']"
BRACKET-Bosnia_and_Herz,group,-0.9320933944587598,10,"['Albert', 'BlueLaGoons', 'Claude (AI)', 'Damian', 'Dan', 'Downsy', ""ESPN (Ryan O'Hanlon's tips)"", 'Sherram', 'Tom (9a0)', 'Tom (c66)']"
GROUP-Scotland-Morocco,away,-0.92951600308978,12,"['Adam B', 'Albert', 'Damian', 'Doug', 'Estevao', 'Giuseppe', 'Jon', 'Kuba', 'Martin L', 'Sherram', 'Tamara', 'Tom (9a0)']"
GROUP-South_Korea-Czechia,home,0.92951600308978,12,"['Adam B', 'Albert', 'Damian', 'Dan', 'Dave L', 'Estevao', 'Giuseppe', 'Kuba', 'Martin L', 'Mikey', 'Sherram', 'Tamara']"
BRACKET-France,quarter,-0.9167083788731049,4,"['Albert', 'BlueLaGoons', 'Haydos', 'Tom (9a0)']"
GROUP-Mexico-South_Korea,home,0.9142857142857144,12,"['Adam B', 'Antoni Brdarovski', 'Claude (AI)', 'Damian', 'Dan', 'Doug', 'Estevao', 'Haydos', 'Jon', 'Martin L', 'Mikey', 'Tom (c66)']"
GROUP-Belgium-Egypt,draw,-0.9142857142857143,3,"['Albert', 'Martin L', 'Smith']"
GROUP-South_Africa-South_Korea,draw,0.8791185712778404,3,"['Albert', 'Estevao', 'Haydos']"
BRACKET-Colombia,r32,-0.8763560920082658,12,"['Antoni Brdarovski', 'BlueLaGoons', 'Claude (AI)', 'Dan', 'Estevao', 'Haydos', 'Kuba', 'Martin L', 'Smith', 'Tamara', 'Tom (9a0)', 'Tom (c66)']"
